,song,artist,peak,seasons,id,features
426,Ramen & OJ,Joyner Lucas & Lil Baby,67,{'spring'},4TIqzdAssasqx3DAe6cG9J,"{'danceability': 0.597, 'energy': 0.571, 'speechiness': 0.293, 'instrumentalness': 0, 'tempo': 106.196, 'valence': 0.165}"
427,Down To One,Luke Bryan,36,{'spring'},6QpZSfLid1YZ6c01BvB5jH,"{'danceability': 0.62, 'energy': 0.776, 'speechiness': 0.0365, 'instrumentalness': 4.31e-05, 'tempo': 93.963, 'valence': 0.551}"
428,Hard For The Next,Moneybagg Yo & Future,49,{'spring'},7heuHxK3oI7L3l4zhPMZBP,"{'danceability': 0.639, 'energy': 0.564, 'speechiness': 0.389, 'instrumentalness': 0, 'tempo': 175.053, 'valence': 0.375}"
429,What You Need,Don Toliver,82,{'spring'},7iC56CDz8miPDKaH0OEIqS,"{'danceability': 0.656, 'energy': 0.672, 'speechiness': 0.0468, 'instrumentalness': 1.45e-05, 'tempo': 130.006, 'valence': 0.137}"
430,I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",43,{'spring'},20GrahbI4AzAOWxpYfDKkf,"{'danceability': 0.757, 'energy': 0.721, 'speechiness': 0.0691, 'instrumentalness': 0, 'tempo': 124.036, 'valence': 0.364}"
431,Tampa,Cico P,91,{'spring'},4tB6ApBRk7JEBKet5mRFF3,"{'danceability': 0.888, 'energy': 0.407, 'speechiness': 0.487, 'instrumentalness': 0, 'tempo': 77.031, 'valence': 0.751}"
432,Big Gangsta,Kevin Gates,81,{'spring'},03ERnTvSV5fy8WAyvA4uNP,"{'danceability': 0.879, 'energy': 0.574, 'speechiness': 0.391, 'instrumentalness': 8.76e-06, 'tempo': 144.911, 'valence': 0.346}"
433,Hellcats & Trackhawks,Lil Durk,69,{'spring'},53tv6ZbyeAwfAUwFaxYbfO,"{'danceability': 0.841, 'energy': 0.672, 'speechiness': 0.371, 'instrumentalness': 0, 'tempo': 157.026, 'valence': 0.599}"
434,Let It Go,DJ Khaled Featuring Justin Bieber & 21 Savage,54,{'spring'},195B41cJ64qCbdpRLIvuVk,"{'danceability': 0.584, 'energy': 0.594, 'speechiness': 0.03, 'instrumentalness': 0.773, 'tempo': 135.988, 'valence': 0.0913}"
435,Richer,Rod Wave Featuring Polo G,22,{'spring'},0mehSdTadpXbHAWTrnrIXO,"{'danceability': 0.726, 'energy': 0.411, 'speechiness': 0.0671, 'instrumentalness': 0, 'tempo': 137.905, 'valence': 0.734}"
436,Headshot,"Lil Tjay, Polo G & Fivio Foreign",42,{'spring'},4eNOLmx8r2IJAVKvBBL1jv,"{'danceability': 0.808, 'energy': 0.639, 'speechiness': 0.279, 'instrumentalness': 0, 'tempo': 118.0, 'valence': 0.395}"
437,Go!,Moneybagg Yo Featuring BIG30,52,{'spring'},04wzgTWP6YU07PdUjm0XzG,"{'danceability': 0.83, 'energy': 0.63, 'speechiness': 0.26, 'instrumentalness': 0, 'tempo': 174.993, 'valence': 0.556}"
438,Without You,The Kid LAROI & Miley Cyrus,8,{'spring'},1SOq4fAdYfKf0V2CsRqHSs,"{'danceability': 0.573, 'energy': 0.185, 'speechiness': 0.0324, 'instrumentalness': 0.493, 'tempo': 91.086, 'valence': 0.414}"
439,Go Crazy,Chris Brown & Young Thug,3,{'spring'},1IIKrJVP1C9N7iPtG6eOsK,"{'danceability': 0.755, 'energy': 0.578, 'speechiness': 0.145, 'instrumentalness': 0, 'tempo': 94.148, 'valence': 0.581}"
440,34+35,Ariana Grande,2,{'winter'},6Im9k8u9iIzKMrmV7BWtlF,"{'danceability': 0.83, 'energy': 0.585, 'speechiness': 0.094, 'instrumentalness': 0, 'tempo': 109.978, 'valence': 0.485}"
441,Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy",30,{'spring'},5OypcrFg58e4k2iYHi69ED,"{'danceability': 0.397, 'energy': 0.545, 'speechiness': 0.0985, 'instrumentalness': 0, 'tempo': 142.214, 'valence': 0.301}"
442,Somebody Like That,Tenille Arts,50,{'spring'},3hboOw4dS0aXGuP0fyyvbC,"{'danceability': 0.574, 'energy': 0.798, 'speechiness': 0.0485, 'instrumentalness': 0, 'tempo': 105.034, 'valence': 0.58}"
443,Body In Motion,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch",79,{'spring'},1IZGMPe57hATuLJgmMR4eP,"{'danceability': 0.669, 'energy': 0.687, 'speechiness': 0.12, 'instrumentalness': 0, 'tempo': 91.969, 'valence': 0.335}"
444,Big Paper,DJ Khaled Featuring Cardi B,84,{'spring'},2ES75ADP1RR9TQmYqtDtyB,"{'danceability': 0.725, 'energy': 0.638, 'speechiness': 0.204, 'instrumentalness': 0, 'tempo': 119.795, 'valence': 0.316}"
445,Durag Activity,Baby Keem & Travis Scott,85,{'spring'},6c5wQFfJApRMooKE7UQnlH,"{'danceability': 0.893, 'energy': 0.759, 'speechiness': 0.309, 'instrumentalness': 0, 'tempo': 80.45, 'valence': 0.498}"
446,Final Warning,NLE Choppa,90,{'spring'},3LVcKphzONOdQ2EATazlZq,"{'danceability': 0.847, 'energy': 0.912, 'speechiness': 0.257, 'instrumentalness': 0, 'tempo': 81.486, 'valence': 0.88}"
447,If Pain Was A Person,Moneybagg Yo,54,{'spring'},08Uu8bkE5fuHbjhnZFsyoz,"{'danceability': 0.584, 'energy': 0.611, 'speechiness': 0.52, 'instrumentalness': 0, 'tempo': 144.347, 'valence': 0.798}"
448,Thankful,DJ Khaled Featuring Lil Wayne & Jeremih,100,{'spring'},5suOUHDyRxvWDYF5GA6dly,"{'danceability': 0.352, 'energy': 0.758, 'speechiness': 0.0434, 'instrumentalness': 0, 'tempo': 84.281, 'valence': 0.653}"
449,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,{'summer'},0PvFJmanyNQMseIFrU708S,"{'danceability': 0.823, 'energy': 0.586, 'speechiness': 0.2, 'instrumentalness': 0, 'tempo': 125.971, 'valence': 0.347}"
450,Willow,Taylor Swift,1,{'winter'},0lx2cLdOt3piJbcaXIV74f,"{'danceability': 0.392, 'energy': 0.574, 'speechiness': 0.17, 'instrumentalness': 0.00179, 'tempo': 81.112, 'valence': 0.529}"
451,Damage,H.E.R.,44,{'winter'},0KS2h61pHQ4WmOwruD7uxD,"{'danceability': 0.646, 'energy': 0.696, 'speechiness': 0.065, 'instrumentalness': 0, 'tempo': 81.336, 'valence': 0.18}"
452,Free Promo,Moneybagg Yo Featuring Polo G & Lil Durk,80,{'spring'},1HjTPHXn4awvfwhjclnjfZ,"{'danceability': 0.774, 'energy': 0.627, 'speechiness': 0.246, 'instrumentalness': 0, 'tempo': 155.116, 'valence': 0.437}"
453,Just Say Det,Moneybagg Yo,82,{'spring'},1X5qFwlfEX1cHpp08hiGlw,"{'danceability': 0.855, 'energy': 0.576, 'speechiness': 0.38, 'instrumentalness': 0, 'tempo': 140.022, 'valence': 0.324}"
454,Anyone,Justin Bieber,6,{'winter'},31qCy5ZaophVA81wtlwLc4,"{'danceability': 0.686, 'energy': 0.538, 'speechiness': 0.0345, 'instrumentalness': 3.13e-06, 'tempo': 115.884, 'valence': 0.584}"
455,My Head And My Heart,Ava Max,45,{'spring'},1KixkQVDUHggZMU9dUobgm,"{'danceability': 0.614, 'energy': 0.934, 'speechiness': 0.07, 'instrumentalness': 0, 'tempo': 116.001, 'valence': 0.436}"
456,How They Remember You,Rascal Flatts,89,{'spring'},3qwPYg8xTWPafQD3YUNaTU,"{'danceability': 0.442, 'energy': 0.8, 'speechiness': 0.0368, 'instrumentalness': 0, 'tempo': 152.004, 'valence': 0.498}"
457,Masterpiece,DaBaby,55,{'winter'},26UxwWl9xCb83OynXELJcL,"{'danceability': 0.781, 'energy': 0.726, 'speechiness': 0.0836, 'instrumentalness': 0, 'tempo': 139.988, 'valence': 0.436}"
458,Long Live,Florida Georgia Line,45,{'spring'},0YfRAYTNTNszGg8VARrSIH,"{'danceability': 0.611, 'energy': 0.846, 'speechiness': 0.0374, 'instrumentalness': 0, 'tempo': 129.961, 'valence': 0.544}"
459,Clear Da Air,Moneybagg Yo,100,{'spring'},6YkP0P7VPAENzoRjy8ojV2,"{'danceability': 0.818, 'energy': 0.583, 'speechiness': 0.285, 'instrumentalness': 0, 'tempo': 129.811, 'valence': 0.17}"
460,Save Your Tears,The Weeknd,4,{'winter'},5QO79kh1waicV47BqGRL3g,"{'danceability': 0.68, 'energy': 0.826, 'speechiness': 0.0309, 'instrumentalness': 1.24e-05, 'tempo': 118.051, 'valence': 0.644}"
461,Starting Over,Chris Stapleton,25,{'fall'},3K07bGe8iljQ3mOKArHLDo,"{'danceability': 0.638, 'energy': 0.538, 'speechiness': 0.0315, 'instrumentalness': 0.000415, 'tempo': 89.124, 'valence': 0.318}"
462,Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott,46,{'spring'},7uZqvqXzzYMKrexKxdcGmd,"{'danceability': 0.851, 'energy': 0.703, 'speechiness': 0.303, 'instrumentalness': 2.57e-05, 'tempo': 74.017, 'valence': 0.596}"
463,Cry Baby,Megan Thee Stallion Featuring DaBaby,28,{'winter'},5Bnh2sJPeQCdpoZD4UKzsX,"{'danceability': 0.955, 'energy': 0.436, 'speechiness': 0.38, 'instrumentalness': 0, 'tempo': 130.041, 'valence': 0.559}"
464,Proud Of You,Young Thug Featuring Lil Uzi Vert & Yung Kayo,59,{'spring'},16eZmQoeajKH8G2nPe2chk,"{'danceability': 0.848, 'energy': 0.451, 'speechiness': 0.228, 'instrumentalness': 0, 'tempo': 135.941, 'valence': 0.223}"
465,Came And Saw,Young Thug Featuring Rowdy Rebel,66,{'spring'},3GkEnNf2RWmdwkA2FfjQ3g,"{'danceability': 0.771, 'energy': 0.817, 'speechiness': 0.214, 'instrumentalness': 0, 'tempo': 123.952, 'valence': 0.554}"
466,Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench,77,{'spring'},0GqaZ1L5KAXMNngAZbGvLf,"{'danceability': 0.484, 'energy': 0.596, 'speechiness': 0.424, 'instrumentalness': 0, 'tempo': 81.86, 'valence': 0.21}"
467,Momma's House,Dustin Lynch,59,{'spring'},51FVpJr3WL7vvdfCa7j2jr,"{'danceability': 0.633, 'energy': 0.858, 'speechiness': 0.0356, 'instrumentalness': 0, 'tempo': 119.998, 'valence': 0.541}"
468,Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift,30,{'spring'},2CYVETnhM9aytqrazYYwrK,"{'danceability': 0.66, 'energy': 0.817, 'speechiness': 0.0521, 'instrumentalness': 0, 'tempo': 135.942, 'valence': 0.714}"
469,Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo,50,{'spring'},1dg3qy5DjoJodawfOCgrTP,"{'danceability': 0.88, 'energy': 0.575, 'speechiness': 0.163, 'instrumentalness': 0, 'tempo': 120.031, 'valence': 0.671}"
470,You Got It,VEDO,75,{'spring'},4lsHZ92XCFOQfzJFBTluk8,"{'danceability': 0.762, 'energy': 0.433, 'speechiness': 0.187, 'instrumentalness': 0, 'tempo': 122.074, 'valence': 0.394}"
471,Monsters,All Time Low Featuring Demi Lovato & blackbear ,55,{'spring'},50DMJJpAeQv4fIpxZvQz2e,"{'danceability': 0.51, 'energy': 0.787, 'speechiness': 0.0529, 'instrumentalness': 0, 'tempo': 162.092, 'valence': 0.793}"
472,Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke,99,{'spring'},0ky8syPEVEfD7qCxMTW49X,"{'danceability': 0.814, 'energy': 0.531, 'speechiness': 0.0884, 'instrumentalness': 7.26e-06, 'tempo': 130.02, 'valence': 0.18}"
473,Ruff Ryders' Anthem,DMX,16,{'spring'},1BKT2I9x4RGKaKqW4up34s,"{'danceability': 0.88, 'energy': 0.577, 'speechiness': 0.302, 'instrumentalness': 1.02e-06, 'tempo': 90.991, 'valence': 0.74}"
474,Party Up (Up In Here),DMX,27,{'spring'},4AIHPdr6x3qNbxTR8ngWdQ,"{'danceability': 0.554, 'energy': 0.941, 'speechiness': 0.339, 'instrumentalness': 0, 'tempo': 100.801, 'valence': 0.409}"
475,X Gon' Give It To Ya,DMX,46,{'spring'},1zzxoZVylsna2BQB65Ppcb,"{'danceability': 0.761, 'energy': 0.899, 'speechiness': 0.183, 'instrumentalness': 0, 'tempo': 95.027, 'valence': 0.673}"
476,Love Story (Taylor's Version),Taylor Swift,11,{'winter'},5RaBeejGtdPEszYEKYECs2,"{'danceability': 0.669, 'energy': 0.56, 'speechiness': 0.0352, 'instrumentalness': 3.23e-05, 'tempo': 123.068, 'valence': 0.155}"
477,Forever & Always (Taylor's Version),Taylor Swift,65,{'spring'},1msEuwSBneBKpVCZQcFTsU,"{'danceability': 0.598, 'energy': 0.821, 'speechiness': 0.0447, 'instrumentalness': 0, 'tempo': 128.03, 'valence': 0.673}"
478,Fearless (Taylor's Version),Taylor Swift,71,{'spring'},22bPsP2jCgbLUvh82U0Z3M,"{'danceability': 0.402, 'energy': 0.732, 'speechiness': 0.0484, 'instrumentalness': 0, 'tempo': 161.032, 'valence': 0.472}"
479,You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris,51,{'spring'},4CHpVfAhuxNJ3ibExe6kxO,"{'danceability': 0.599, 'energy': 0.494, 'speechiness': 0.0372, 'instrumentalness': 0, 'tempo': 142.893, 'valence': 0.44}"
480,You Belong With Me (Taylor's Version),Taylor Swift,75,{'spring'},1qrpoAMXodY6895hGKoUpA,"{'danceability': 0.632, 'energy': 0.773, 'speechiness': 0.0346, 'instrumentalness': 0, 'tempo': 130.033, 'valence': 0.474}"
481,Shy Away,twenty one pilots,87,{'spring'},2nG54Y4a3sH9YpfxMolOyi,"{'danceability': 0.588, 'energy': 0.856, 'speechiness': 0.0316, 'instrumentalness': 0.0739, 'tempo': 96.966, 'valence': 0.635}"
482,Fifteen (Taylor's Version),Taylor Swift,88,{'spring'},2nqio0SfWg6gh2eCtfuMa5,"{'danceability': 0.559, 'energy': 0.646, 'speechiness': 0.0272, 'instrumentalness': 0, 'tempo': 95.466, 'valence': 0.289}"
483,Big Purr (Prrdd),Coi Leray & Pooh Shiesty,69,{'spring'},3b8gZMTPFzImCWZc70xX8b,"{'danceability': 0.765, 'energy': 0.43, 'speechiness': 0.363, 'instrumentalness': 0, 'tempo': 139.889, 'valence': 0.311}"
484,Met Him Last Night,Demi Lovato Featuring Ariana Grande,61,{'spring'},0BI0hfbmqybnd3TezrDME3,"{'danceability': 0.538, 'energy': 0.512, 'speechiness': 0.0262, 'instrumentalness': 0, 'tempo': 144.978, 'valence': 0.12}"
485,The Way I Loved You (Taylor's Version),Taylor Swift,94,{'spring'},22bPsP2jCgbLUvh82U0Z3M,"{'danceability': 0.402, 'energy': 0.732, 'speechiness': 0.0484, 'instrumentalness': 0, 'tempo': 161.032, 'valence': 0.472}"
486,Dancing With The Devil,Demi Lovato,56,{'spring'},2kONpeXXK70YEs7c0UQbmq,"{'danceability': 0.413, 'energy': 0.64, 'speechiness': 0.0427, 'instrumentalness': 0, 'tempo': 75.245, 'valence': 0.149}"
487,Real As It Gets,Lil Baby Featuring EST Gee,34,{'spring'},7eX3um6NpOQKWJMGCi97XD,"{'danceability': 0.779, 'energy': 0.705, 'speechiness': 0.163, 'instrumentalness': 0, 'tempo': 140.005, 'valence': 0.196}"
488,Put Your Records On,Ritt Momney,30,{'spring'},6AGOKlMZWLCaEJGnaROtF9,"{'danceability': 0.399, 'energy': 0.491, 'speechiness': 0.0538, 'instrumentalness': 0.00089, 'tempo': 91.066, 'valence': 0.151}"
489,Whoopty,CJ,10,{'winter'},5vGLcdRuSbUhD8ScwsGSdA,"{'danceability': 0.719, 'energy': 0.648, 'speechiness': 0.125, 'instrumentalness': 0, 'tempo': 140.201, 'valence': 0.66}"
490,Lemon Pepper Freestyle,Drake Featuring Rick Ross,3,{'spring'},4FRW5Nza1Ym91BGV4nFWXI,"{'danceability': 0.77, 'energy': 0.637, 'speechiness': 0.345, 'instrumentalness': 0, 'tempo': 94.966, 'valence': 0.431}"
491,Film Out,BTS,81,{'spring'},3UHPGOkUcE4hE7sqBF4Snt,"{'danceability': 0.499, 'energy': 0.709, 'speechiness': 0.134, 'instrumentalness': 0, 'tempo': 164.032, 'valence': 0.314}"
492,Body,Megan Thee Stallion,12,{'winter'},0A1hoCfMLkiAgvhWkkucJa,"{'danceability': 0.914, 'energy': 0.732, 'speechiness': 0.241, 'instrumentalness': 0, 'tempo': 94.066, 'valence': 0.469}"
493,As I Am,Justin Bieber Featuring Khalid,43,{'spring'},6F2r4HgpJnvKDmkN6JEN6J,"{'danceability': 0.595, 'energy': 0.543, 'speechiness': 0.038, 'instrumentalness': 0, 'tempo': 99.928, 'valence': 0.109}"
494,Girl Like Me,Black Eyed Peas X Shakira,67,{'winter'},1zLBsSVxETQOfINOLYvT5m,"{'danceability': 0.965, 'energy': 0.485, 'speechiness': 0.191, 'instrumentalness': 0.0237, 'tempo': 124.025, 'valence': 0.312}"
495,Buss It,Erica Banks,47,{'winter'},25j0Sape7qZbq6ZPLFefTT,"{'danceability': 0.956, 'energy': 0.502, 'speechiness': 0.213, 'instrumentalness': 0, 'tempo': 110.003, 'valence': 0.795}"
496,Dynamite,BTS,1,{'fall'},5QDLhrAOJJdNAmCTJ8xMyW,"{'danceability': 0.746, 'energy': 0.765, 'speechiness': 0.0993, 'instrumentalness': 0, 'tempo': 114.044, 'valence': 0.737}"
497,SoulFly,Rod Wave,55,{'spring'},5vN7P248A5pcoyttfnLiO3,"{'danceability': 0.631, 'energy': 0.518, 'speechiness': 0.224, 'instrumentalness': 0, 'tempo': 109.629, 'valence': 0.418}"
498,Gone Till November,Rod Wave,61,{'spring'},2LTJYsWOqsjntJpRy2HpY6,"{'danceability': 0.478, 'energy': 0.537, 'speechiness': 0.111, 'instrumentalness': 0, 'tempo': 82.902, 'valence': 0.384}"
499,Don't Forget,Rod Wave,63,{'spring'},1jReouUURqZ4LmgJ7bgXA3,"{'danceability': 0.658, 'energy': 0.641, 'speechiness': 0.208, 'instrumentalness': 0, 'tempo': 172.973, 'valence': 0.879}"
500,Blame On You,Rod Wave,65,{'spring'},0uQkvV2UbX10sh74E8qSOC,"{'danceability': 0.695, 'energy': 0.685, 'speechiness': 0.186, 'instrumentalness': 0, 'tempo': 161.913, 'valence': 0.705}"
501,All I Got,Rod Wave,71,{'spring'},6rwffxuu6KJ5Gl2MLMMbXh,"{'danceability': 0.424, 'energy': 0.511, 'speechiness': 0.473, 'instrumentalness': 0, 'tempo': 77.057, 'valence': 0.705}"
502,Pills & Billz,Rod Wave,85,{'spring'},0OMYllKltbIYT3XFzUKTfB,"{'danceability': 0.747, 'energy': 0.547, 'speechiness': 0.196, 'instrumentalness': 0, 'tempo': 80.503, 'valence': 0.699}"
503,How The Game Go,Rod Wave,88,{'spring'},5f5i9Wyzg6SlustTyiWIcr,"{'danceability': 0.741, 'energy': 0.735, 'speechiness': 0.0968, 'instrumentalness': 0, 'tempo': 85.003, 'valence': 0.636}"
504,OMDB,Rod Wave,89,{'spring'},7Aece36KsB5z5EskkAoFp4,"{'danceability': 0.628, 'energy': 0.522, 'speechiness': 0.0472, 'instrumentalness': 0, 'tempo': 82.928, 'valence': 0.191}"
505,Clouds,NF,53,{'spring'},1mvI5pGoh84IiFSbWxEkGH,"{'danceability': 0.788, 'energy': 0.652, 'speechiness': 0.405, 'instrumentalness': 0, 'tempo': 128.108, 'valence': 0.812}"
506,What's Love??,Rod Wave,94,{'spring'},4NWJN6qnlOwHmMfOhrC5qZ,"{'danceability': 0.628, 'energy': 0.36, 'speechiness': 0.174, 'instrumentalness': 0, 'tempo': 156.484, 'valence': 0.656}"
507,Shock Da World,Rod Wave,96,{'spring'},4jKnLOQmIcTD72hfa9CdyG,"{'danceability': 0.694, 'energy': 0.531, 'speechiness': 0.139, 'instrumentalness': 2.04e-06, 'tempo': 81.946, 'valence': 0.547}"
508,Sneaky Links,Rod Wave,98,{'spring'},1JqfbWJpxzJH5yYszl5Jl4,"{'danceability': 0.667, 'energy': 0.558, 'speechiness': 0.066, 'instrumentalness': 0, 'tempo': 149.018, 'valence': 0.623}"
509,Better Together,Luke Combs,15,{'winter'},6gdLyYNuhWBzqwlOFSsXC7,"{'danceability': 0.552, 'energy': 0.225, 'speechiness': 0.0477, 'instrumentalness': 0, 'tempo': 138.002, 'valence': 0.67}"
510,Good Time,Niko Moon,20,{'spring'},2S8UMuLJ0z8agFgFGJ6Ztt,"{'danceability': 0.802, 'energy': 0.59, 'speechiness': 0.0493, 'instrumentalness': 0, 'tempo': 138.084, 'valence': 0.687}"
511,Unstable,Justin Bieber Featuring The Kid LAROI,62,{'spring'},137mSruegm1u6x9NvwiagR,"{'danceability': 0.495, 'energy': 0.333, 'speechiness': 0.0288, 'instrumentalness': 0, 'tempo': 99.757, 'valence': 0.37}"
512,Off My Face,Justin Bieber,64,{'spring'},3T03rPwlL8NVk1yIaxeD8U,"{'danceability': 0.509, 'energy': 0.228, 'speechiness': 0.0332, 'instrumentalness': 0, 'tempo': 90.674, 'valence': 0.586}"
513,2 Much,Justin Bieber,68,{'spring'},0oaY19dUwZimIgzn3ZZLZO,"{'danceability': 0.583, 'energy': 0.444, 'speechiness': 0.0456, 'instrumentalness': 0, 'tempo': 119.59, 'valence': 0.167}"
514,Deserve You,Justin Bieber,76,{'spring'},5NU40QTlXrDUJzDBdv79bg,"{'danceability': 0.677, 'energy': 0.633, 'speechiness': 0.0771, 'instrumentalness': 0, 'tempo': 89.934, 'valence': 0.409}"
515,Die For You,Justin Bieber Featuring Dominic Fike,81,{'spring'},26hOm7dTtBi0TdpDGl141t,"{'danceability': 0.472, 'energy': 0.518, 'speechiness': 0.051, 'instrumentalness': 0.127, 'tempo': 147.805, 'valence': 0.154}"
516,Love You Different,Justin Bieber Featuring BEAM,84,{'spring'},27UcQ6dAvQrgH9C880rCM3,"{'danceability': 0.759, 'energy': 0.584, 'speechiness': 0.06, 'instrumentalness': 1.59e-06, 'tempo': 127.138, 'valence': 0.374}"
517,Loved By You,Justin Bieber Featuring Burna Boy,87,{'spring'},2tB9OFgAHjAds3cqquLlvp,"{'danceability': 0.79, 'energy': 0.724, 'speechiness': 0.0852, 'instrumentalness': 2.33e-06, 'tempo': 101.04, 'valence': 0.642}"
518,Somebody,Justin Bieber,91,{'spring'},3rLIv187BhjyweFe89SgLn,"{'danceability': 0.714, 'energy': 0.833, 'speechiness': 0.0259, 'instrumentalness': 0, 'tempo': 129.964, 'valence': 0.663}"
519,Neighbors,Pooh Shiesty Featuring BIG30,51,{'winter'},2xlOJSbScxrHHOmlNmILpD,"{'danceability': 0.728, 'energy': 0.623, 'speechiness': 0.305, 'instrumentalness': 0, 'tempo': 145.973, 'valence': 0.805}"
520,Bandido,Myke Towers & Juhn,82,"{'winter', 'spring'}",1zR9GHtjc0eeShUXK6nt86,"{'danceability': 0.743, 'energy': 0.317, 'speechiness': 0.0789, 'instrumentalness': 0.795, 'tempo': 84.008, 'valence': 0.209}"
521,Beers And Sunshine,Darius Rucker,42,{'winter'},36ISlLb12gKuCCVTYXC0gb,"{'danceability': 0.57, 'energy': 0.645, 'speechiness': 0.0304, 'instrumentalness': 0, 'tempo': 81.084, 'valence': 0.677}"
522,Throat Baby (Go Baby),BRS Kash,24,{'winter'},15C4TnrrVdym7UykxQIOTZ,"{'danceability': 0.878, 'energy': 0.475, 'speechiness': 0.324, 'instrumentalness': 0, 'tempo': 131.988, 'valence': 0.397}"
523,On The Ground,ROSE,70,{'spring'},2pn8dNVSpYnAtlKFC8Q0DJ,"{'danceability': 0.311, 'energy': 0.607, 'speechiness': 0.11, 'instrumentalness': 0, 'tempo': 188.7, 'valence': 0.286}"
524,Lost,NF Featuring Hopsin,79,{'spring'},1saTcReK0l0Jr6FOA41zaB,"{'danceability': 0.875, 'energy': 0.348, 'speechiness': 0.0587, 'instrumentalness': 0.897, 'tempo': 117.361, 'valence': 0.349}"
525,Baila Conmigo,Selena Gomez With Rauw Alejandro,74,{'winter'},079Ey5uxL04AKPQgVQwx5h,"{'danceability': 0.823, 'energy': 0.544, 'speechiness': 0.0715, 'instrumentalness': 0.00315, 'tempo': 149.903, 'valence': 0.664}"
526,Like I Want You,Giveon,87,{'spring'},6qBFSepqLCuh5tehehc1bd,"{'danceability': 0.678, 'energy': 0.355, 'speechiness': 0.0627, 'instrumentalness': 7.06e-05, 'tempo': 119.772, 'valence': 0.438}"
527,Daywalker!,Machine Gun Kelly & CORPSE,88,{'spring'},7jGyKjAd5IMMOdw9dCcVF4,"{'danceability': 0.29, 'energy': 0.535, 'speechiness': 0.0657, 'instrumentalness': 0.00741, 'tempo': 89.479, 'valence': 0.5}"
528,Opp Stoppa,YBN Nahmir Featuring 21 Savage,78,{'spring'},78p1rF7xx1snnaKxtUzBHn,"{'danceability': 0.829, 'energy': 0.343, 'speechiness': 0.0982, 'instrumentalness': 0, 'tempo': 78.061, 'valence': 0.309}"
529,Still Trappin',Lil Durk & King Von,53,{'winter'},1lw4FrPr3Y8R7Q1Mro2TMe,"{'danceability': 0.877, 'energy': 0.679, 'speechiness': 0.355, 'instrumentalness': 0, 'tempo': 144.93, 'valence': 0.624}"
530,Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,39,{'winter'},61FfbHfk4qT8ZzNA5dqN9j,"{'danceability': 0.736, 'energy': 0.887, 'speechiness': 0.124, 'instrumentalness': 0, 'tempo': 100.501, 'valence': 0.495}"
531,Undivided,Tim McGraw & Tyler Hubbard,76,{'winter'},6HFcEyaEmbb3R8QxiO25mk,"{'danceability': 0.375, 'energy': 0.787, 'speechiness': 0.0331, 'instrumentalness': 0.895, 'tempo': 90.003, 'valence': 0.375}"
532,Holy,Justin Bieber Featuring Chance The Rapper,3,{'fall'},5u1n1kITHCxxp8twBcZxWy,"{'danceability': 0.673, 'energy': 0.704, 'speechiness': 0.36, 'instrumentalness': 0, 'tempo': 86.919, 'valence': 0.372}"
533,Golden,Harry Styles,57,{'spring'},45S5WTQEGOB1VHr1Q4FuPl,"{'danceability': 0.448, 'energy': 0.838, 'speechiness': 0.0557, 'instrumentalness': 0.000131, 'tempo': 139.863, 'valence': 0.254}"
534,Lifestyle,Jason Derulo Featuring Adam Levine,71,{'spring'},0osvOdeD3YXZiWkT8MKolJ,"{'danceability': 0.749, 'energy': 0.674, 'speechiness': 0.0366, 'instrumentalness': 0, 'tempo': 123.055, 'valence': 0.711}"
535,Moonwalking In Calabasas,DDG,81,{'winter'},73xjJ1TIE6WP3HNKczQE4F,"{'danceability': 0.925, 'energy': 0.322, 'speechiness': 0.112, 'instrumentalness': 0, 'tempo': 129.957, 'valence': 0.712}"
536,Tyler Herro,Jack Harlow,34,{'fall'},3w1WjD2zJqjBjDz5fwqQPJ,"{'danceability': 0.792, 'energy': 0.793, 'speechiness': 0.0841, 'instrumentalness': 0, 'tempo': 123.031, 'valence': 0.775}"
537,Somebody's Problem,Morgan Wallen,25,{'winter'},42lqBjPYlmL1EXpMDXvhSN,"{'danceability': 0.658, 'energy': 0.538, 'speechiness': 0.0289, 'instrumentalness': 0, 'tempo': 136.967, 'valence': 0.62}"
538,Cover Me Up,Morgan Wallen,52,{'winter'},0mKnuxVkPi5h0kuvZl44VM,"{'danceability': 0.549, 'energy': 0.44, 'speechiness': 0.0264, 'instrumentalness': 7.37e-06, 'tempo': 128.01, 'valence': 0.214}"
539,Life's A Mess II,"Juice WRLD, Clever & Post Malone",97,{'spring'},4O3RwH1TFG1EjPezLIYehI,"{'danceability': 0.53, 'energy': 0.37, 'speechiness': 0.0279, 'instrumentalness': 0, 'tempo': 140.061, 'valence': 0.701}"
