,song,artist,peak,seasons,id,features
26,Girls Want Girls,Drake Featuring Lil Baby,2,{'fall'},37Nqx7iavZpotJSDXZWbJ3,"{'danceability': 0.767, 'energy': 0.438, 'speechiness': 0.29, 'instrumentalness': 0, 'tempo': 86.975, 'valence': 0.381}"
27,Moth To A Flame,Swedish House Mafia & The Weeknd,27,{'fall'},40MXr7BMh3ShPf2b9giSRt,"{'danceability': 0.681, 'energy': 0.915, 'speechiness': 0.0423, 'instrumentalness': 0.413, 'tempo': 121.996, 'valence': 0.109}"
28,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,28,{'fall'},3SZc0j8zRttWPfXPKraJtS,"{'danceability': 0.913, 'energy': 0.561, 'speechiness': 0.329, 'instrumentalness': 4.07e-06, 'tempo': 136.984, 'valence': 0.554}"
29,Thats What I Want,Lil Nas X,10,{'fall'},0e8nrvls4Qqv5Rfa2UhqmO,"{'danceability': 0.737, 'energy': 0.846, 'speechiness': 0.22, 'instrumentalness': 0, 'tempo': 87.981, 'valence': 0.546}"
30,Pepas,Farruko,25,{'fall'},5fwSHlTEWpluwOM0Sxnh5k,"{'danceability': 0.762, 'energy': 0.766, 'speechiness': 0.0343, 'instrumentalness': 6.98e-05, 'tempo': 130.001, 'valence': 0.442}"
31,Love Nwantiti (Ah Ah Ah),CKay,31,{'fall'},2Xr1dTzJee307rmrkt8c0g,"{'danceability': 0.727, 'energy': 0.739, 'speechiness': 0.0411, 'instrumentalness': 0.00137, 'tempo': 93.005, 'valence': 0.533}"
32,Take My Breath,The Weeknd,6,{'summer'},2vgUijXOTRMnWXDtvgMp2b,"{'danceability': 0.698, 'energy': 0.769, 'speechiness': 0.0368, 'instrumentalness': 0.00166, 'tempo': 121.02, 'valence': 0.354}"
33,Happier Than Ever,Billie Eilish,11,{'summer'},4RVwu0g32PAqgUiJoXsdF8,"{'danceability': 0.332, 'energy': 0.225, 'speechiness': 0.0348, 'instrumentalness': 0.00349, 'tempo': 81.055, 'valence': 0.297}"
34,Wockesha,Moneybagg Yo,20,{'fall'},0nqhKXDjsyBMvbeWmgijD0,"{'danceability': 0.582, 'energy': 0.537, 'speechiness': 0.619, 'instrumentalness': 0, 'tempo': 82.103, 'valence': 0.771}"
35,Better Days,NEIKED X Mae Muller X Polo G,35,{'fall'},6f5ExP43esnvdKPddwKXJH,"{'danceability': 0.717, 'energy': 0.671, 'speechiness': 0.0337, 'instrumentalness': 2.54e-06, 'tempo': 110.054, 'valence': 0.699}"
36,Buy Dirt,Jordan Davis Featuring Luke Bryan,34,{'fall'},69AIpwGNLxr4qS1X5ynx60,"{'danceability': 0.586, 'energy': 0.559, 'speechiness': 0.05, 'instrumentalness': 0, 'tempo': 177.945, 'valence': 0.437}"
37,Ghost,Justin Bieber,32,{'fall'},6I3mqTwhRpn34SLVafSH7G,"{'danceability': 0.601, 'energy': 0.741, 'speechiness': 0.0478, 'instrumentalness': 2.91e-05, 'tempo': 153.96, 'valence': 0.441}"
38,Lets Go Brandon,Loza Alexander,38,{'fall'},36fpGAf7yaHajJP2QhHsPF,"{'danceability': 0.693, 'energy': 0.54, 'speechiness': 0.0519, 'instrumentalness': 0.0261, 'tempo': 176.056, 'valence': 0.0654}"
39,Cold As You,Luke Combs,39,{'fall'},7IWV29mryrqtO0JVgnPtfv,"{'danceability': 0.598, 'energy': 0.846, 'speechiness': 0.0355, 'instrumentalness': 0, 'tempo': 144.04, 'valence': 0.328}"
40,A-O-K,Tai Verdes,34,{'fall'},1sx0XsWUusUoPstbvokZjP,"{'danceability': 0.731, 'energy': 0.626, 'speechiness': 0.0805, 'instrumentalness': 0, 'tempo': 82.488, 'valence': 0.862}"
41,You Should Probably Leave,Chris Stapleton,40,{'fall'},2UikqkwBv7aIvlixeVXHWt,"{'danceability': 0.602, 'energy': 0.477, 'speechiness': 0.032, 'instrumentalness': 3.1e-05, 'tempo': 183.89, 'valence': 0.552}"
42,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,{'spring'},02VBYrHfVwfEWXk5DXyf0T,"{'danceability': 0.586, 'energy': 0.616, 'speechiness': 0.0324, 'instrumentalness': 0, 'tempo': 148.088, 'valence': 0.719}"
43,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,43,{'fall'},6NebrV4ZigAoXIRbe11hxh,"{'danceability': 0.394, 'energy': 0.747, 'speechiness': 0.0627, 'instrumentalness': 0, 'tempo': 203.918, 'valence': 0.776}"
44,Memory I Don't Mess With,Lee Brice,33,{'fall'},1zYZs8Vbjhbzx5M3olcRnm,"{'danceability': 0.617, 'energy': 0.704, 'speechiness': 0.0258, 'instrumentalness': 0, 'tempo': 91.541, 'valence': 0.57}"
45,Bubbly,Young Thug With Drake & Travis Scott,20,{'fall'},4KDNRh9Oor80z3XIxdWlui,"{'danceability': 0.91, 'energy': 0.585, 'speechiness': 0.257, 'instrumentalness': 0, 'tempo': 129.011, 'valence': 0.599}"
46,Wild Side,Normani Featuring Cardi B,14,{'summer'},2vXgyN14LX2zl7JEASw242,"{'danceability': 0.74, 'energy': 0.576, 'speechiness': 0.146, 'instrumentalness': 0, 'tempo': 110.095, 'valence': 0.315}"
47,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,22,{'fall'},3ehI7iXJPiOU2aKVGItIwL,"{'danceability': 0.69, 'energy': 0.652, 'speechiness': 0.0449, 'instrumentalness': 0, 'tempo': 75.982, 'valence': 0.159}"
48,Gyalis,Capella Grey,38,{'fall'},7wpyrkjEgz7W1vNYDxMKrF,"{'danceability': 0.666, 'energy': 0.643, 'speechiness': 0.423, 'instrumentalness': 0, 'tempo': 96.375, 'valence': 0.756}"
49,I Was On A Boat That Day,Old Dominion,37,{'fall'},7u6kAP26NFU2rwNKjFUpI8,"{'danceability': 0.541, 'energy': 0.903, 'speechiness': 0.0901, 'instrumentalness': 0, 'tempo': 139.981, 'valence': 0.767}"
50,Family Ties,Baby Keem & Kendrick Lamar,18,{'fall'},19AG938fhalP76GwKbuWEV,"{'danceability': 0.579, 'energy': 0.706, 'speechiness': 0.035, 'instrumentalness': 0.864, 'tempo': 87.992, 'valence': 0.698}"
